,online_order,book_table,votes,location,rest_type,cuisines,menu_item,Cluster,Labels
0,1,1,775,0,0,0,0,2,800.0
1,1,0,787,0,0,1,0,2,800.0
2,1,0,918,0,1,2,0,2,800.0
9,1,0,504,0,4,9,0,2,550.0
31,1,0,506,0,2,25,0,2,500.0
37,1,0,1647,0,0,31,0,2,600.0
43,1,0,540,0,2,36,0,2,800.0
47,1,0,804,4,0,39,5,2,450.0
48,1,0,679,5,0,40,0,2,850.0
53,1,0,618,3,0,44,0,2,750.0
54,0,0,1047,0,2,45,0,2,450.0
55,1,0,627,0,7,46,8,2,450.0
63,0,1,808,0,0,38,0,2,850.0
65,1,0,1720,1,2,55,0,2,400.0
67,0,0,868,0,11,56,0,2,1.2
71,0,0,520,0,2,59,0,2,300.0
76,1,0,558,1,2,33,10,2,150.0
145,1,0,771,0,0,72,12,2,450.0
150,1,0,540,1,0,99,0,2,650.0
153,1,0,505,0,2,35,0,2,450.0
188,1,0,630,3,2,124,0,2,200.0
195,1,0,511,4,0,127,0,2,550.0
200,1,0,693,0,0,36,0,2,750.0
217,1,1,1129,3,0,135,0,2,1.3
219,1,0,860,0,9,136,0,2,500.0
278,1,1,1875,3,0,163,0,2,1.2
292,1,0,543,1,2,160,35,2,300.0
296,1,0,577,3,0,168,0,2,900.0
315,1,1,815,3,0,38,0,2,900.0
316,1,1,633,0,0,38,0,2,800.0
397,1,1,1063,3,30,209,0,2,1.2
401,1,0,1778,3,2,212,54,2,200.0
403,1,0,514,1,4,213,0,2,600.0
404,1,1,866,3,0,214,0,2,900.0
457,1,1,2022,3,0,230,0,2,1.0
465,1,1,2115,0,0,238,0,2,800.0
471,1,1,666,3,30,241,0,2,1.0
476,1,1,970,3,34,243,0,2,1.5
480,1,0,734,0,2,86,72,2,200.0
487,1,0,888,0,0,249,75,2,750.0
489,1,0,750,1,0,159,76,2,500.0
493,1,0,527,1,0,5,0,2,500.0
554,1,0,888,0,0,249,93,2,750.0
561,0,1,977,0,35,255,0,2,1.3
565,1,0,504,0,4,9,97,2,550.0
570,1,0,771,0,0,72,101,2,450.0
579,1,0,519,0,0,257,0,2,900.0
632,0,0,651,0,2,33,0,2,100.0
634,1,0,734,0,2,86,115,2,200.0
637,1,0,505,0,2,35,116,2,450.0
677,1,0,540,0,2,36,136,2,800.0
766,0,0,725,3,2,77,0,2,350.0
767,1,0,750,1,0,159,156,2,500.0
774,1,0,527,1,0,5,160,2,500.0
776,1,0,558,1,2,33,0,2,150.0
811,1,0,543,1,2,160,0,2,300.0
864,1,1,1964,12,0,283,182,2,1.0
870,0,1,1234,8,0,279,0,2,800.0
871,1,1,1538,8,0,286,185,2,1.0
873,1,1,756,8,0,5,0,2,1.0
905,1,1,727,8,4,305,197,2,800.0
907,0,0,521,8,4,306,0,2,550.0
922,1,0,1178,13,7,315,0,2,500.0
933,1,0,549,13,9,50,0,2,400.0
934,1,0,775,13,2,86,0,2,300.0
937,1,0,739,8,7,85,211,2,500.0
943,1,0,601,13,2,325,216,2,700.0
944,1,0,488,8,13,326,217,2,400.0
949,1,0,939,13,0,327,0,2,600.0
955,1,0,628,12,7,46,222,2,450.0
956,1,0,518,8,0,72,223,2,400.0
961,1,0,819,3,9,43,0,2,400.0
965,1,1,1964,12,0,283,229,2,1.0
991,1,0,952,3,2,55,249,2,400.0
994,1,1,739,12,0,338,251,2,800.0
997,1,0,1974,8,0,341,253,2,800.0
