,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
18,224,0.0,0.0,0.0,0.1299999952,0.0,0,0,9,32,0,50
19,1810,0.0,0.0,0.0,1.1299999952,0.0099999998,0,0,121,1319,0,1373
20,815,0.0,0.0,0.0,0.5299999714,0.0,0,0,47,1393,0,1264
21,1985,0.0,0.0,0.0,1.2799999714,0.0099999998,0,0,112,1328,0,1350
22,1905,0.0,0.0,0.0,1.2400000095,0.0,0,0,95,1345,0,1342
23,1552,0.0,0.0,0.0,1.0,0.0,0,0,66,1374,0,1300
24,1675,0.0,0.0,0.0,1.0900000334,0.0,0,0,84,1356,0,1313
27,1556,0.0,0.0,0.0,1.0099999905,0.0099999998,0,0,88,1352,0,1327
28,2910,0.0,0.0,0.0,1.8799999952,0.0099999998,0,0,157,1283,0,1452
30,1335,0.0,0.0,0.0,0.8700000048,0.0,0,0,74,1366,0,1308
31,1004,0.0,0.0,0.0,0.6499999762,0.0,0,0,55,1385,0,1276
32,1111,0.0,0.0,0.0,0.7200000286,0.0,0,0,54,1386,0,1278
34,3572,0.0,0.0,0.0,2.2899999619,0.0299999993,0,0,122,1318,0,1370
41,2819,0.0,0.3100000024,0.1700000018,1.5599999428,0.0099999998,4,4,87,1345,0,2444
47,1329,0.0,0.0,0.0,0.9700000286,0.0,0,0,35,207,0,489
50,2841,0.0,0.0,0.0,1.8799999952,0.0,0,0,136,1114,0,1636
51,0,0.0,0.0,0.0,0.0,0.0,0,0,0,669,0,1347
52,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1347
53,7,0.0,0.0,0.0,0.0,0.0,0,0,1,1439,0,1349
59,0,0.0,0.0,0.0,0.0,0.0,0,0,0,426,0,399
62,3198,0.0,0.0,0.0,2.2100000381,0.0,0,0,146,1183,0,2449
63,2352,0.0,0.0,0.0,1.6299999952,0.0,0,0,128,829,0,2380
64,2234,0.0,0.0,0.0,1.5499999523,0.0,0,0,108,912,0,2344
65,1259,0.0,0.0,0.0,0.8700000048,0.0,0,0,73,938,0,2202
